Region,Año,Tipos_delito,Ordenado_por,Familia_delito,Grupo_delito,Subgrupo_delito,Cantidad
Atacama,2015,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2016,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2017,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2018,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2019,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,0
Atacama,2020,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,22
Atacama,2021,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,31
Atacama,2022,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,54
Atacama,2023,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,51
Atacama,2024,Robo violento de vehículo motorizado,Subgrupo,Robos violentos,Robos con violencia o intimidación,Robo violento de vehículo motorizado,33
Atacama,2013,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,455
Atacama,2014,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,501
Atacama,2015,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,467
Atacama,2016,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,379
Atacama,2017,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,314
Atacama,2018,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,343
Atacama,2019,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,300
Atacama,2020,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,202
Atacama,2021,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,162
Atacama,2022,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,316
Atacama,2023,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,244
Atacama,2024,Robo por sorpresa,Grupo,Robos violentos,Robo por sorpresa,Robo violento de vehículo motorizado,337
Atacama,2013,Violencia intrafamiliar,Familia de delitos,Violencia intrafamiliar,Robo por sorpresa,Robo violento de vehículo motorizado,2693
Atacama,2014,Violencia intrafamiliar,Familia de delitos,Violencia intrafamiliar,Robo por sorpresa,Robo violento de vehículo motorizado,2302
Atacama,2015,Violencia intrafamiliar,Familia de delitos,Violencia intrafamiliar,Robo por sorpresa,Robo violento de vehículo motorizado,2031
